(File Created by AutoCAM2D)
N10 G90
N20 M03
N30 G00 Z5
N40 G00 X7.133 Y4.728
N50 G01 Z-0.15 F400
N60 G01 X9.658 Y4.726 F500
N70 G01 X9.661 Y4.726
N80 G01 X9.783 Y4.851
N90 G01 X9.68 Y7.877
N100 G01 X7.379 Y7.879
N110 G01 X4.04 Y11.223
N120 G01 X3.938 Y17.045
N130 G01 X0.391 Y20.594
N140 G01 X0.391 Y23.919
N150 G01 X5.082 Y28.611
N160 G01 X18.728 Y28.612
N170 G01 X20.554 Y26.787
N180 G01 X20.551 Y25.75
N190 G01 X17.805 Y25.849
N200 G01 X17.008 Y26.251
N210 G01 X16.19 Y25.896
N220 G01 X15.938 Y25.04
N230 G01 X16.437 Y24.298
N240 G01 X17.325 Y24.208
N250 G01 X17.962 Y24.832
N260 G01 X18.003 Y24.969
N270 G01 X20.785 Y24.967
N280 G01 X23.478 Y22.178
N290 G01 X23.883 Y21.541
N300 G01 X24.622 Y21.383
N310 G01 X26.341 Y21.474
N320 G01 X26.905 Y20.911
N330 G01 X27.009 Y12.236
N340 G01 X28.248 Y11.155
N350 G01 X31.22 Y11.264
N360 G01 X32.452 Y12.656
N370 G01 X32.533 Y13.868
N380 G01 X33.001 Y14.461
N390 G01 X32.905 Y15.211
N400 G01 X32.304 Y15.668
N410 G01 X31.556 Y15.558
N420 G01 X31.11 Y14.943
N430 G01 X31.281 Y14.135
N440 G01 X31.669 Y13.829
N450 G01 X31.669 Y12.816
N460 G01 X30.788 Y11.939
N470 G01 X28.409 Y11.938
N480 G01 X27.688 Y12.662
N490 G01 X27.586 Y21.335
N500 G01 X26.505 Y22.257
N510 G01 X25.411 Y22.257
N520 G01 X25.105 Y23.057
N530 G01 X24.376 Y23.316
N540 G01 X23.793 Y23.07
N550 G01 X21.337 Y25.522
N560 G01 X21.225 Y27.224
N570 G01 X18.901 Y29.395
N580 G01 X4.714 Y29.334
N590 G01 X-0.39 Y24.101
N600 G01 X-0.285 Y20.164
N610 G01 X3.26 Y16.618
N620 G01 X3.364 Y10.792
N630 G01 X7.031 Y7.124
N640 G01 X7.133 Y4.728
N650 G00 Z5
N660 G00 X10.563 Y5.801
N670 G01 Z-0.15 F400
N680 G01 X11.137 Y4.961 F500
N690 G01 X12.131 Y4.745
N700 G01 X13.002 Y5.27
N710 G01 X13.283 Y6.227
N720 G01 X15.551 Y6.229
N730 G01 X18.72 Y3.213
N740 G01 X39.418 Y3.274
N750 G01 X43.405 Y7.39
N760 G01 X43.488 Y14.344
N770 G01 X43.956 Y14.937
N780 G01 X43.924 Y15.553
N790 G01 X44.994 Y16.784
N800 G01 X45.091 Y18.871
N810 G01 X45.631 Y19.581
N820 G01 X45.43 Y20.451
N830 G01 X44.634 Y20.853
N840 G01 X43.815 Y20.498
N850 G01 X43.564 Y19.642
N860 G01 X44.063 Y18.9
N870 G01 X44.215 Y18.826
N880 G01 X44.211 Y16.948
N890 G01 X43.26 Y16.143
N900 G01 X42.511 Y16.034
N910 G01 X42.065 Y15.418
N920 G01 X42.236 Y14.61
N930 G01 X42.624 Y14.304
N940 G01 X42.624 Y7.566
N950 G01 X39.052 Y3.998
N960 G01 X18.891 Y3.995
N970 G01 X17.957 Y4.933
N980 G01 X15.723 Y7.011
